Date,Algerian Dinar,Australian Dollar,Bahrain Dinar,Bolivar Fuerte,Botswana Pula,Brazilian Real,Brunei Dollar,Canadian Dollar,Chilean Peso,Chinese Yuan,Colombian Peso,Czech Koruna,Danish Krone,Euro,Hungarian Forint,Icelandic Krona,Indian Rupee,Indonesian Rupiah,Iranian Rial,Israeli New Sheqel,Japanese Yen,Kazakhstani Tenge,Korean Won,Kuwaiti Dinar,Libyan Dinar,Malaysian Ringgit,Mauritian Rupee,Mexican Peso,Nepalese Rupee,New Zealand Dollar,Norwegian Krone,Nuevo Sol,Pakistani Rupee,Peso Uruguayo,Philippine Peso,Polish Zloty,Qatar Riyal,Rial Omani,Russian Ruble,Saudi Arabian Riyal,Singapore Dollar,South African Rand,Sri Lanka Rupee,Swedish Krona,Swiss Franc,Thai Baht,Trinidad And Tobago Dollar,Tunisian Dinar,U.A.E. Dirham,U.K. Pound Sterling,U.S. Dollar
1995-1-20,,0.7674,0.376,,,0.846,,1.4235,,,852.68,,5.972,,,67.35,31.37,2204.0,1744.600958,,99.15,,792.4,,0.525,2.5476,,,49.88,0.6425,6.6245,,30.9372,,,,3.64,0.3845,,3.745,1.4493,3.53,50.17,7.4413,1.2712,25.05,5.8555,,3.671,1.585,1.0
1995-1-23,,0.7701,0.376,,,0.846,,1.4194,,,855.54,,5.968,,,67.3,31.37,2204.0,1752.1487,,99.9,,792.5,0.29851,0.525,2.554,,,49.88,0.6436,6.6185,,30.9372,,,,3.64,0.3845,,3.745,1.4487,3.53,50.15,7.4385,1.2708,25.05,5.8655,,3.671,1.5865,1.0
1995-1-24,,0.7698,0.376,,,0.85,,1.4144,,,855.49,,5.961,,,67.21,31.38,2205.0,1743.839992,,99.75,,792.3,0.29874,0.525,2.5593,,,49.88,0.6462,6.6115,,30.9372,,,,3.64,0.3845,,3.745,1.4513,3.53,50.18,7.4479,1.2677,25.06,5.8854,,3.671,1.6,1.0
1995-1-25,,0.7711,0.376,,,0.852,,1.4147,,,856.65,,5.947,,,67.09,31.38,2205.0,1747.807599,,99.6,,790.1,0.29857,0.525,2.561,,,49.88,0.647,6.599,,30.9372,,,,3.64,0.3845,,3.745,1.4536,3.53,50.16,7.4259,1.2657,25.05,5.909,,3.671,1.5992,1.0
1995-1-26,,,0.376,,,0.851,,1.4148,,,857.56,,5.9885,,,67.44,,2205.0,1752.52705,,99.53,,787.4,0.29857,0.525,2.5605,,,49.9,0.643,6.647,,30.9372,,,,3.64,0.3845,,3.745,1.452,3.54,50.17,7.4928,1.2775,25.06,5.8838,,3.671,1.594,1.0
1995-1-27,,0.7625,0.376,,,0.844,,1.415,,,859.3,,5.9805,,,67.38,31.4,2205.0,1752.480633,,99.3,,785.3,,0.525,2.5565,,,49.9,0.6413,6.633,,30.9372,,,,3.64,0.3845,,3.745,1.4514,3.54,50.17,7.4657,1.2744,25.06,5.8526,,3.671,1.5895,1.0
1995-1-30,,0.7601,0.376,,,0.843,,1.419,,,857.83,,5.978,,,67.35,31.38,2205.0,1747.042383,,99.15,,,0.29857,0.525,2.5572,,,49.9,0.6395,6.634,,30.9372,,,,3.64,0.3845,,3.745,1.4523,3.53,50.175,7.4382,1.2752,25.05,5.8943,,3.671,1.5878,1.0
1995-1-31,,0.7583,0.376,,,0.845,,1.4086,410.55,8.4384,856.41,,5.949,,,67.12,31.37,2207.0,1745.989718,,98.55,,,0.29824,0.525,,,6.0,49.9,0.6414,6.6055,,30.9372,,24.55,2.43,3.64,0.3845,,3.745,,3.53,50.13,7.4305,1.269,25.02,5.9009,,3.671,1.593,1.0
1995-2-1,,0.7582,0.376,,,0.84,,1.4105,,,,,6.0135,,,67.5,,2207.0,1758.929149,,99.35,,,0.29884,0.525,,,,49.9,0.6387,6.678,,30.9372,,,,3.64,0.3845,,3.745,,3.55,50.19,7.4785,1.2872,25.07,5.9019,,3.671,1.5802,1.0
1995-2-2,,0.7585,0.376,,,0.841,,1.4064,,,855.76,,5.989,,,67.2,31.37,2208.0,1747.787686,,99.33,,786.7,0.29884,0.525,,,,50.16,0.6402,6.651,,30.9372,,,,3.64,0.3845,,3.745,1.4527,3.55,50.2,7.4405,1.2852,25.06,5.9022,,3.671,1.583,1.0
1995-2-3,,0.759,0.376,,,0.838,,1.4026,,,852.22,,5.992,,,67.11,31.37,2208.0,1747.55696,,99.55,,788.9,,0.525,2.5545,,,50.16,0.6404,6.6545,,30.9372,,,,3.64,0.3845,,3.745,1.4531,3.55,50.2,7.4573,1.2835,25.07,5.9119,,3.671,1.575,1.0
1995-2-6,,0.7528,0.376,,,0.838,,1.3982,,,848.82,,6.0235,,,67.24,31.37,2208.0,1753.788628,,99.68,,791.6,0.29903,0.525,2.5545,,,50.16,,6.6905,,30.9372,,,,3.64,0.3845,,3.745,1.4594,3.55,50.25,7.4765,1.2947,25.09,5.8964,,3.671,1.5595,1.0
1995-2-7,,0.7455,0.376,,,,,1.3952,,,848.27,,6.0245,,,67.29,31.37,2209.0,1749.869098,,99.25,,792.1,0.29903,0.525,2.5522,,,50.16,0.6317,6.6965,,30.9372,,,,3.64,0.3845,,3.745,1.4627,3.55,50.24,7.4383,1.298,25.09,5.9015,,3.671,1.5583,1.0
1995-2-8,,0.747,0.376,,,0.835,,1.3948,,,848.43,,6.0355,,,67.38,31.37,2209.0,1749.200335,,99.4,,789.9,0.29913,0.525,2.553,,,50.16,0.6301,6.7095,,30.9773,,,,3.64,0.3845,,3.745,1.4598,3.55,50.28,7.4726,1.2992,25.1,5.9179,,3.671,1.5505,1.0
1995-2-9,,0.7419,0.376,,,0.834,,1.3984,,,847.04,,6.018,,,67.22,31.37,2210.0,1747.125998,,98.8,,790.3,0.29893,0.525,2.5486,,,50.16,0.6331,6.6905,,30.9773,,,,3.64,0.3845,,3.745,1.454,3.55,50.27,7.4615,1.2955,25.07,5.9137,,3.671,1.5537,1.0
1995-2-10,,0.7437,0.376,,,0.832,,1.4018,,,845.73,,6.02,,,67.2,31.38,2210.0,1746.642357,,98.78,,790.8,,0.525,2.5485,,,50.16,0.6331,6.689,,30.9773,,,,3.64,0.3845,,3.745,1.4525,3.55,50.27,7.4384,1.2924,25.06,5.8949,,3.671,1.5565,1.0
1995-2-13,,0.747,0.376,,,0.833,,1.4025,,,845.37,,5.9835,,,66.92,31.37,2210.0,1743.188594,,98.77,,793.5,0.29868,0.525,2.5477,,,50.16,0.6341,6.651,,30.9773,,,,3.64,0.3845,,3.745,1.4511,3.54,50.26,7.4089,1.281,25.05,5.9013,,3.671,1.564,1.0
1995-2-14,,0.7426,0.376,,,0.832,,1.3994,,,846.2,,5.9895,,,66.98,31.38,2210.0,1751.169444,,98.6,,793.2,0.29868,0.525,2.552,,,50.16,0.633,6.6665,,30.9773,,,,3.64,0.3845,,3.745,1.4533,3.54,,7.4144,1.286,,5.9061,,3.671,1.5547,1.0
1995-2-15,,0.7466,0.376,,,0.833,,1.4043,,,848.15,,5.9455,,,66.63,31.37,2210.0,1742.889049,,98.55,,791.0,0.29846,0.525,2.5506,,,50.16,0.6363,6.6165,,30.9773,,,,3.64,0.3845,,3.745,1.4544,3.54,50.25,7.368,1.2735,25.04,5.8878,,3.671,1.5638,1.0
1995-2-16,,0.7459,0.376,,,0.835,,1.4098,,,848.52,,5.928,,,66.45,31.37,2210.0,1741.755266,,98.1,,791.3,0.29846,0.525,2.553,,,50.16,0.6343,6.5875,,30.9773,,,,3.64,0.3845,,3.745,1.4549,3.54,50.24,7.3776,1.2655,25.03,5.8941,,3.671,1.571,1.0
1995-2-17,,0.7379,0.376,,,0.843,,1.4057,,,848.9,,5.8515,,,65.85,31.37,2210.0,1734.617712,,97.5,,794.4,,0.525,2.5518,,,50.16,0.6311,6.5075,,30.9773,,,,3.64,0.3845,,3.745,1.4513,3.54,50.18,7.3218,1.2535,24.99,5.9055,,3.671,1.578,1.0
1995-2-20,,0.7377,0.376,,,0.848,,1.4052,,,849.41,,5.826,,,65.69,31.37,2209.0,1744.566967,,96.95,,794.8,0.2976,0.525,2.553,,,50.16,0.6298,6.4855,,30.9773,,,,3.64,0.3845,,3.745,1.4508,3.54,50.14,7.2955,1.2478,24.97,5.8927,,3.671,1.584,1.0
1995-2-21,,0.7418,0.376,,,0.84,,1.3994,,,851.88,,5.8235,,,65.76,31.38,2210.0,1744.765917,,97.35,,,0.2978,0.525,2.5546,,,50.16,0.632,6.4835,,30.9773,,,,3.64,0.3845,,3.745,1.4532,3.56,50.18,7.2967,1.247,24.97,5.8961,,3.671,1.5797,1.0
1995-2-22,,0.7435,0.376,,,0.841,,1.3984,,,853.63,,5.8455,,,65.95,31.38,2210.0,1750.3867,,97.15,,788.7,0.29747,0.525,2.5532,,,50.16,0.6369,6.514,,30.9773,,,,3.64,0.3845,,3.745,1.4527,3.6,50.16,7.348,1.2505,24.95,5.8866,,3.671,1.5815,1.0
1995-2-23,,0.7392,0.376,,,0.846,,1.3939,,,855.32,,5.8265,,,65.81,31.38,2210.0,1745.951431,,97.1,,788.7,,0.525,2.5535,,,50.16,0.6348,6.484,,30.9773,,,,3.64,0.3845,,3.745,1.4539,3.6,50.15,7.2774,1.2547,24.95,5.8933,,3.671,1.5903,1.0
1995-2-24,,0.7376,0.376,,,0.843,,1.3939,,,855.48,,5.8155,,,65.77,31.39,2211.0,1744.949226,,96.6,,788.1,,0.525,2.5525,,,50.16,0.6329,6.482,,30.9773,,,,3.64,0.3845,,3.745,1.4516,3.61,50.13,7.263,1.249,24.94,5.8947,,3.671,1.5897,1.0
1995-2-27,,0.7399,0.376,,,,,1.3964,,,854.71,,5.7995,,,65.68,31.39,2212.0,1745.683157,,97.0,,787.1,0.29747,0.525,2.5549,,,50.16,0.6342,6.4635,,30.9773,,,,3.64,0.3845,,3.745,1.4523,3.6,,7.2888,1.236,24.96,,,3.671,1.5823,1.0
1995-2-28,,0.7395,0.376,,,,,1.3935,410.45,8.4311,856.99,,5.8175,,,65.85,31.43,2212.0,1750.680543,,97.05,,786.0,0.29747,0.525,2.5533,,5.975,50.16,0.6345,6.484,,30.9572,,25.7,2.42,3.64,0.3845,,3.745,1.4495,3.6,50.17,7.3671,1.2397,24.95,,,3.671,1.579,1.0
1995-3-1,,0.7364,0.376,,,0.8495,,1.3964,,,857.85,,5.8155,,,65.71,31.46,2212.0,1750.293645,,96.5,,,0.29717,0.525,2.5515,,,50.16,0.6341,6.4625,,30.9773,,,,3.64,0.3845,,3.745,1.449,3.6,50.11,7.34,1.2422,24.92,5.9271,,3.671,1.581,1.0
1995-3-2,,0.7351,0.376,,,0.848,,1.4036,,,858.87,,5.813,,,65.72,31.47,2212.0,1746.768054,,96.55,,787.9,,0.525,2.5538,,,50.16,0.6328,6.46,,30.9572,,,,3.64,0.3845,,3.745,1.4497,3.6,50.12,7.329,1.24,24.93,5.9029,,3.671,1.5885,1.0
1995-3-3,,0.7373,0.376,,,0.851,,1.4013,,,861.33,,5.7665,,,65.32,31.93,2212.0,1734.88725,,95.4,,789.5,,0.525,,,,50.16,0.6368,6.413,,30.9572,,,,3.64,0.3845,,3.745,,3.57,,7.3205,1.23,24.88,,,3.671,1.609,1.0
1995-3-6,,0.7337,0.376,,,0.856,,1.4176,,,859.65,,5.62,,,63.76,31.67,2212.0,1718.900752,,93.4,,790.8,0.29561,0.525,2.543,,,50.16,0.6418,6.2155,,30.9572,,,,3.64,0.3845,,3.745,1.441,3.55,50.02,7.2505,1.175,24.8,5.9252,,3.671,1.6492,1.0
1995-3-7,,0.7387,0.376,,,0.866,,1.421,,,858.95,,5.6575,,,63.94,31.96,2212.0,1746.4808,,92.85,,787.7,0.29516,0.525,2.545,,,50.16,0.6436,6.235,,30.9572,,,,3.64,0.3845,,3.745,1.4313,3.57,50.03,7.218,1.1705,24.8,5.9138,,3.671,1.6225,1.0
1995-3-8,,0.7386,0.376,,,0.884,,1.4085,,,861.13,,5.5545,,,63.02,31.81,2212.0,1729.867988,,89.15,,785.7,0.29404,0.525,2.5395,,,50.18,0.6487,6.1355,,30.9572,,,,3.64,0.3845,,3.745,1.4091,3.57,49.91,7.1274,1.1465,24.72,5.9109,,3.671,1.6405,1.0
1995-3-9,,0.741,0.376,,,0.884,,1.4125,,,862.41,,5.6265,,,64.05,31.76,2212.0,1765.553662,,91.1,,785.1,0.29555,0.525,2.5478,,,50.39,0.6443,6.234,,30.9572,,,,3.64,0.3845,,3.745,1.4175,3.61,49.94,7.1645,1.165,24.75,5.9127,,3.671,1.6132,1.0
1995-3-10,,0.7413,0.376,,,0.886,,1.4087,,,863.06,,5.6545,,,64.3,31.75,2213.0,1775.583019,,91.15,,783.9,,0.525,2.5498,,,50.39,0.6445,6.2705,,30.9572,,,,3.64,0.3845,,3.745,1.417,3.65,49.96,7.1545,1.1812,24.77,5.8847,,3.671,1.5965,1.0
1995-3-13,,0.7455,0.376,,,0.878,,1.4118,,,865.36,,5.672,,,64.47,31.82,2213.0,1743.009353,,90.2,,783.3,0.29562,0.525,2.55,,,50.39,0.6473,6.3035,,30.9572,,,,3.64,0.3845,,3.745,1.4133,3.62,49.995,7.2945,1.1725,24.76,5.9201,,3.671,1.582,1.0
1995-3-14,,0.7459,0.376,,,0.8795,,1.4169,,,865.92,,5.6715,,,64.53,31.85,2214.0,1753.759316,,90.75,,779.9,0.29562,0.525,2.552,,,50.39,0.6505,6.3025,,30.9572,,,,3.64,0.3845,,3.745,1.417,3.63,49.995,7.2665,1.1745,24.77,5.9084,,3.671,1.5863,1.0
1995-3-15,,0.7465,0.376,,,0.88,,1.4156,,,866.96,,5.6585,,,64.48,31.78,2214.0,1745.000186,,90.45,,780.7,0.29562,0.525,2.5515,,,50.39,0.648,6.2925,,30.9572,,,,3.64,0.3845,,3.745,1.4138,3.6,49.985,7.2515,1.172,24.77,5.9244,,3.671,1.585,1.0
1995-3-16,,0.7466,0.376,,,0.882,,1.4138,,,866.4,,5.6175,,,63.98,31.51,2214.0,1739.686843,,89.75,,779.2,0.29513,0.525,2.546,,,50.39,0.6507,6.2435,,30.9572,,,,3.64,0.3845,,3.745,1.4113,3.57,,7.211,1.155,24.72,5.9086,,3.671,1.5957,1.0
1995-3-17,,0.7418,0.376,,,0.893,,1.4177,,,865.63,,5.592,,,63.86,31.51,2215.0,1739.720696,,90.0,,778.7,,0.525,,,,50.39,0.6492,6.224,,30.9572,,,,3.64,0.3845,,3.745,1.4118,3.6,49.93,7.19,1.1575,24.73,5.9162,,3.671,1.5888,1.0
1995-3-20,,0.7293,0.376,,,0.888,,1.4082,,,,,5.6325,,,64.34,31.5,2215.0,1743.418572,,89.45,,775.7,,0.525,2.5483,,,50.39,0.6449,6.275,,30.9572,,,,3.64,0.3845,,3.745,1.4113,3.63,49.91,7.2745,1.165,24.7,5.9116,,3.671,1.5845,1.0
1995-3-21,,0.7255,0.376,,,0.9,,1.4009,,,863.77,,5.599,,,64.11,31.53,2216.0,1737.387936,,,,774.5,0.29559,0.525,2.5499,,,50.39,0.6463,6.2455,,30.9572,,,,3.64,0.3845,,3.745,1.4137,,49.95,7.2245,1.1603,24.72,5.9332,,3.671,1.583,1.0
1995-3-22,,0.7281,0.376,,,0.899,,1.4025,,,865.89,,5.646,,,64.5,31.54,2216.0,1742.665285,,89.03,,772.9,0.29578,0.525,2.5505,,,50.39,0.6485,6.2935,,30.9572,,,,3.64,0.3845,,3.745,1.415,3.61,49.93,7.2645,1.1742,24.72,5.936,,3.671,1.5853,1.0
1995-3-23,,0.7226,0.376,,,0.9,,1.406,,,867.81,,5.61,,,64.15,31.66,2217.0,1735.038975,,88.7,,768.4,0.29552,0.525,2.5498,,,50.39,0.647,6.258,,30.9572,,,,3.64,0.3845,,3.745,1.4142,3.6,49.92,7.289,1.1601,24.71,5.9227,,3.671,1.5895,1.0
1995-3-24,,0.7265,0.376,,,0.912,,1.4014,,,868.95,,5.602,,,64.22,31.65,2217.0,1736.488061,,88.55,,766.5,,0.525,2.551,,,50.39,0.6493,6.2665,,30.9572,,,,3.64,0.3845,,3.745,1.4175,3.61,49.89,7.306,1.165,24.7,5.9325,,3.671,1.597,1.0
1995-3-27,,0.7275,0.376,,,0.907,,1.4015,,,869.22,,5.621,,,64.44,31.64,2218.0,1756.668531,,88.62,,770.9,0.29584,0.525,2.5426,,,50.39,0.6497,6.2925,,30.9572,,,,3.64,0.3845,,3.745,1.4174,3.61,49.93,7.3085,1.1687,24.72,5.9303,,3.671,1.593,1.0
1995-3-28,,0.7268,0.376,,,0.908,,1.403,,,870.14,,5.5705,,,63.96,31.61,2218.0,1741.956167,,89.65,,769.7,0.2956,0.525,2.5365,,,50.39,0.6477,6.242,,30.9572,,,,3.64,0.3845,,3.745,1.4206,3.6,49.96,7.3085,1.1549,24.74,5.9276,,3.671,1.6006,1.0
1995-3-29,,0.7271,0.376,,,0.909,,1.4032,,,872.57,,5.51,,,63.33,31.56,2218.0,1735.759921,,88.5,,771.2,0.29441,0.525,2.5332,,,50.39,0.6495,6.163,,30.9572,,,,3.64,0.3845,,3.745,1.4172,3.59,49.89,7.3156,1.1352,24.7,5.9296,,3.671,1.6123,1.0
1995-3-30,,0.7263,0.376,,,0.905,,1.3983,,,876.21,,5.5085,,,63.3,31.47,2219.0,1748.067966,,88.25,,771.6,0.29408,0.525,2.534,,,50.39,0.651,6.179,,30.9572,,,,3.64,0.3845,,3.745,1.4197,3.6,49.85,7.3961,1.1368,24.67,5.9065,,3.671,1.6132,1.0
1995-3-31,,0.728,0.376,,,0.901,,1.399,403.15,8.4264,880.23,,5.48,,,63.32,31.5,2219.0,1743.755207,,89.35,,771.5,,0.525,2.5353,,6.785,50.39,0.6487,6.1825,,30.9572,,25.9,2.35,3.64,0.3845,,3.745,1.419,3.59,49.93,7.3725,1.1391,24.74,5.9175,,3.671,1.613,1.0
1995-4-3,,0.7343,0.376,,,0.894,,1.3987,,,878.18,,5.447,,,63.06,31.44,2219.0,1740.87102,,87.2,,771.4,0.293,0.525,2.5245,,,50.39,0.6547,6.165,,30.9572,,,,3.64,0.3845,,3.745,1.4093,3.59,49.83,7.388,1.129,24.64,5.922,,3.671,1.618,1.0
1995-4-4,,0.7324,0.376,,,0.9,,1.394,,,876.0,,5.4535,,,63.1,31.46,2219.0,1748.122461,,86.0,,770.9,0.29231,0.525,2.5221,,,50.39,0.6553,6.182,,30.9572,,,,3.64,0.3845,,3.745,1.4067,3.59,49.8,7.391,1.1295,24.6,5.9032,,3.671,1.6124,1.0
1995-4-5,,0.7387,0.376,,,0.899,,1.392,,,874.3,,5.419,,,62.85,31.45,2220.0,1742.617512,,86.4,,,0.29284,0.525,2.51,,,50.39,0.656,6.141,,30.9572,,,,3.64,0.3845,,3.745,1.4065,3.59,49.84,7.333,1.1245,24.63,5.9164,,3.671,1.614,1.0
1995-4-6,,0.7393,0.376,,,0.898,,1.3895,,,871.6,,5.407,,,62.92,31.45,2220.0,1746.267612,,86.1,,771.1,0.29235,0.525,2.4983,,,50.39,0.6589,6.1625,,30.9572,,,,3.64,0.3845,,3.745,1.4053,3.59,49.81,7.3815,1.126,,,,3.671,1.6072,1.0
1995-4-7,,,0.376,,,0.892,,1.3915,,,868.96,,5.4115,,,62.86,31.41,2220.0,1740.673547,,84.6,,772.0,,0.525,2.491,,,50.39,0.6598,6.162,,30.9572,,,,3.64,0.3845,,3.745,1.4028,3.59,49.76,7.307,1.131,24.59,5.9299,,3.671,1.608,1.0
1995-4-10,,0.7402,0.376,,,0.898,,1.3837,,,869.15,,5.4955,,,63.47,31.41,2221.0,1751.276199,,83.0,,769.8,0.29188,0.525,2.489,,,50.39,,6.243,,30.9572,,,,3.64,0.3845,,3.745,1.3989,3.6,49.74,7.3515,1.1505,24.54,5.9282,,3.671,1.5983,1.0
1995-4-11,,0.7391,0.376,,,0.895,,1.3799,,,866.78,,5.5485,,,63.91,31.41,2221.0,1762.119807,,84.4,,767.8,0.29311,0.525,2.4885,,,50.39,0.6625,6.3075,,30.9572,,,,3.64,0.3845,,3.745,1.4005,3.6,49.8,7.3515,1.161,24.58,5.9105,,3.671,1.5925,1.0
1995-4-12,,0.7423,0.376,,,0.899,,1.3773,,,868.8,,5.5175,,,63.72,31.41,2222.0,1744.79649,,83.4,,768.8,0.29289,0.525,2.486,,,50.39,0.668,6.2765,,30.9572,,,,3.64,0.3845,,3.745,1.3996,3.61,49.78,7.3422,1.1555,,5.9237,,3.671,1.5903,1.0
1995-4-13,,0.742,0.376,,,,,1.3735,,,866.25,,,,,,31.41,2222.0,1742.434663,,83.45,,769.6,0.29248,0.525,,,,50.39,0.6723,,,30.9572,,,,3.64,0.3845,,3.745,1.3975,3.61,,7.3467,1.156,,5.9063,,3.671,1.5973,1.0
1995-4-14,,,0.376,,,,,,,,866.25,,,,,,31.41,,1738.261472,,83.8,,770.4,,0.525,2.4675,,,,,,,30.9572,,,,3.64,0.3845,,3.745,,,,,,,,,3.671,,1.0
1995-4-17,,,0.376,,,0.906,,1.3662,,,866.25,,,,,,31.39,2222.0,1731.395517,,82.3,,770.2,0.29129,0.525,2.4604,,,50.39,,,,30.9572,,,,3.64,0.3845,,3.745,1.3966,,49.75,,,24.52,,,3.671,,1.0
1995-4-18,,0.7456,0.376,,,0.903,,1.3693,,,871.87,,5.377,,,62.42,31.4,2222.0,1742.359202,,81.8,,768.8,0.29003,0.525,2.466,,,50.39,0.6751,6.1285,,30.9572,,,,3.64,0.3845,,3.745,1.3955,3.59,49.67,7.2885,1.1245,24.5,5.9272,,3.671,1.6193,1.0
1995-4-19,,0.7407,0.376,,,0.903,,1.3709,,,874.37,,5.3385,,,62.51,31.4,2223.0,1810.791299,,80.3,,767.7,0.28947,0.525,2.4652,,,50.39,0.6758,6.1045,,30.9572,,,,3.64,0.3845,,3.745,1.3919,3.59,49.57,7.2735,1.1236,24.44,5.9115,,3.671,1.6137,1.0
1995-4-20,,0.7357,0.376,,,0.912,,1.3706,,,874.35,,5.4165,,,,31.41,2223.0,1759.13954,,81.6,,766.3,0.29055,0.525,2.4745,,,50.39,0.6735,6.1895,,30.9372,,,,3.64,0.3845,,3.745,1.3955,3.6,49.62,7.324,1.1325,24.49,5.9203,,3.671,1.6137,1.0
1995-4-21,,0.7363,0.376,,,,,1.3681,,,877.38,,5.445,,,63.28,31.45,2224.0,1768.493812,,83.3,,765.7,,0.525,2.4759,,,50.39,0.6713,6.2335,,30.9372,,,,3.64,0.3845,,3.745,1.399,3.61,49.72,7.443,1.146,24.57,5.9066,,3.671,1.6035,1.0
